"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.test.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output dstat_comparison_big_dataset.csv",,,,"Date:","24 Jul 2019 10:20:56 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.266,0.110,99.614,0.010,0,68778.255,4249246.739,0,0,0,0,1257.237,1245.101
0.975,0.300,98.724,0,0,0,0,64690,22200,0,0,1792,2431
2.426,0.075,97.499,0,0,0,0,8340,0,0,0,442,32
2.425,0.125,97.425,0.025,0,0,8658944,8160,54,0,0,440,74
2.500,0.025,97.475,0,0,0,0,8400,0,0,0,486,119
2.451,0.050,97.499,0,0,0,0,7320,0,0,0,386,34
2.401,0.100,97.499,0,0,0,0,8100,0,0,0,441,35
2.450,0.075,97.475,0,0,0,0,7440,0,0,0,390,34
2.475,0.050,97.475,0,0,0,12288,7020,0,0,0,470,131
2.501,0.025,97.474,0,0,0,0,7380,0,0,0,401,45
2.075,0.075,97.850,0,0,0,0,9714,2838,0,0,589,167
0,0,100,0,0,0,0,8460,0,0,0,160,54
0.250,0.200,99.550,0,0,0,0,13299,5217,0,0,552,369
1.124,0.175,98.701,0,0,0,0,61501,16851,0,0,1608,2272
2.401,0.150,97.424,0.025,0,0,8499200,9180,0,0,0,490,76
2.451,0.050,97.499,0,0,0,0,9300,0,0,0,420,34
2.475,0.050,97.475,0,0,0,0,9060,0,0,0,498,115
2.451,0.050,97.499,0,0,0,0,8460,0,0,0,406,32
2.450,0.075,97.475,0,0,0,1232896,8760,0,0,0,671,40
2.599,0.125,97.276,0,0,0,12288,8100,0,0,0,447,58
4.977,0.025,94.997,0,0,0,0,8220,0,0,0,985,116
0.525,0.100,99.375,0,0,0,0,10314,2838,0,0,478,193
0.025,0,99.975,0,0,0,0,8340,0,0,0,196,31
0.601,0.300,99.099,0,0,0,0,64180,22068,0,0,1831,2509
2.475,0.050,97.475,0,0,0,0,8126,0,0,0,482,126
2.475,0.075,97.425,0.025,0,0,8499200,8520,0,0,0,438,74
2.426,0.075,97.499,0,0,0,0,8160,0,0,0,442,37
2.475,0.050,97.475,0,0,0,0,7800,0,0,0,395,30
2.425,0.100,97.475,0,0,0,0,8160,0,0,0,482,113
2.476,0.050,97.474,0,0,0,4096,8280,0,0,0,415,40
6.825,0.125,93.050,0,0,0,12288,10674,2838,0,0,1446,204
0,0,100,0,0,0,0,8400,54,0,0,160,58
0.225,0.225,99.550,0,0,0,0,12099,5559,0,0,570,370
1.050,0.150,98.800,0,0,0,0,60061,16509,0,0,1538,2211
2.451,0.050,97.499,0,0,0,102400,7140,0,0,0,453,45
2.424,0.125,97.451,0,0,0,0,7800,0,0,0,404,47
2.451,0.075,97.449,0.025,0,0,8511488,8220,0,0,0,517,153
2.425,0.100,97.475,0,0,0,0,8400,0,0,0,409,34
2.449,0.100,97.451,0,0,0,0,8400,0,0,0,450,37
4.377,0.175,95.448,0,0,0,0,8280,0,0,0,653,67
4.677,0.075,95.248,0,0,0,0,10494,2838,0,0,1473,277
0,0.025,99.975,0,0,0,65536,8430,90,0,0,165,67
0.375,0.375,99.250,0,0,0,0,64264,19386,0,0,1565,1899
2.301,0.100,97.599,0,0,0,0,9276,2886,0,0,703,651
2.474,0.075,97.451,0,0,0,8429568,8340,0,0,0,516,123
2.426,0.075,97.499,0,0,0,0,8160,0,0,0,400,36
2.475,0.050,97.475,0,0,0,0,9120,42,0,0,468,50
2.450,0.075,97.475,0,0,0,98304,8220,0,0,0,405,49
2.426,0.075,97.499,0,0,0,0,8520,0,0,0,491,114
15.146,0.250,84.604,0,0,0,0,10074,2838,0,0,2909,261
0.025,0,99.975,0,0,0,0,7800,0,0,0,192,71
0.275,0.250,99.475,0,0,0,0,16203,10539,0,0,581,333
1.325,0.125,98.550,0,0,0,90112,55297,11667,0,0,1543,2226
2.475,0.050,97.475,0,0,0,0,8100,0,0,0,398,32
2.451,0.050,97.499,0,0,0,0,7920,0,0,0,443,41
2.499,0.050,97.451,0,0,0,8437760,8100,0,0,0,430,38
2.476,0.025,97.499,0,0,0,0,7620,0,0,0,475,118
2.474,0.050,97.476,0,0,0,0,6900,0,0,0,381,37
8.863,0.300,90.836,0,0,0,77824,9054,2838,0,0,1481,1066
0,0.025,99.975,0,0,0,0,6300,0,0,0,133,86
0.025,0.100,99.875,0,0,0,0,7080,126,0,0,409,187
0.950,0.250,98.800,0,0,0,0,64679,23844,0,0,1868,2890
2.450,0.075,97.475,0,0,0,0,7560,0,0,0,443,42
2.501,0.025,97.449,0.025,0,0,8507392,7080,0,0,0,420,71
2.501,0.025,97.474,0,0,0,0,6900,0,0,0,464,124
2.451,0.050,97.499,0,0,0,0,6900,0,0,0,386,32
2.425,0.100,97.475,0,0,0,0,7320,0,0,0,433,41
2.450,0.075,97.475,0,0,0,0,7020,0,0,0,387,34
2.476,0.025,97.499,0,0,0,0,11368,3266,0,0,551,140
0.500,0.050,99.450,0,0,0,45056,10982,3631,0,0,465,204
0,0.025,99.975,0,0,0,0,6660,0,0,0,129,44
0.400,0.325,99.274,0,0,0,0,63583,23646,0,0,1935,2736
2.451,0.050,97.499,0,0,0,0,6850,66,0,0,425,136
2.474,0.075,97.451,0,0,0,0,6780,0,0,0,419,35
2.475,0.075,97.425,0.025,0,0,8503296,6420,0,0,0,401,67
2.525,0,97.475,0,0,0,0,7200,0,0,0,427,36
2.401,0.100,97.499,0,0,0,0,7740,0,0,0,435,118
2.751,0.200,97.049,0,0,0,0,18640,17110,0,0,1917,366
2.876,0.150,96.973,0,0,0,0,12990,5147,0,0,872,227
0.025,0,99.975,0,0,0,0,7740,0,0,0,195,54
0.150,0.250,99.600,0,0,0,106496,11739,5559,0,0,512,386
0.975,0.200,98.825,0,0,0,8708096,59654,18285,0,0,1853,2666
2.450,0.075,97.475,0,0,0,0,5880,0,0,0,367,42
2.426,0.075,97.499,0,0,0,0,6540,0,0,0,418,40
2.450,0.075,97.475,0,0,0,0,5940,0,0,0,408,117
2.474,0.075,97.451,0,0,0,98304,6060,0,0,0,421,51
2.451,0.050,97.499,0,0,0,0,6840,0,0,0,381,34
2.951,0.150,96.899,0,0,0,0,7936,816,0,0,537,80
2.675,0.050,97.275,0,0,0,0,13460,6081,0,0,1051,274
0.025,0.025,99.950,0,0,0,0,7800,0,0,0,198,61
0.425,0.300,99.275,0,0,0,0,63578,19449,0,0,1308,1581
2.176,0.100,97.699,0.025,0,0,8507392,9735,4329,0,0,1126,1413
2.500,0.025,97.475,0,0,0,0,8100,0,0,0,443,114
2.399,0.150,97.451,0,0,0,0,7560,0,0,0,432,27
2.476,0.025,97.499,0,0,0,0,7380,0,0,0,390,37
2.425,0.075,97.500,0,0,0,0,7980,0,0,0,441,38
2.500,0.050,97.450,0,0,0,16384,7980,0,0,0,441,123
4.652,0.150,95.198,0,0,0,0,14844,6897,0,0,1508,256
0.025,0,99.975,0,0,0,0,8880,0,0,0,164,48
0.425,0.225,99.350,0,0,0,0,17583,10539,0,0,650,355
1.550,0.175,98.275,0,0,0,0,58070,13245,0,0,1723,2559
2.451,0.050,97.499,0,0,0,0,10260,0,0,0,477,38
2.450,0.100,97.400,0.050,0,0,8503296,8880,0,0,0,458,83
2.475,0.050,97.475,0,0,0,0,8160,0,0,0,444,36
2.451,0.050,97.499,0,0,0,0,7440,0,0,0,431,119
2.474,0.050,97.476,0,0,0,0,6840,0,0,0,421,34
9.280,0.300,90.420,0,0,0,0,14484,6897,0,0,2423,287
0.025,0.025,99.950,0,0,0,65536,7680,0,0,0,193,81
0.125,0.125,99.750,0,0,0,0,8670,144,0,0,434,329
0.951,0.250,98.799,0,0,0,0,65333,23850,0,0,1813,2596
2.501,0,97.499,0,0,0,0,7560,0,0,0,392,32
2.475,0.100,97.425,0,0,0,0,7914,1393,0,0,579,70
2.426,0.075,97.499,0,0,0,8433664,8268,66,0,0,459,120
2.399,0.150,97.451,0,0,0,98304,7560,0,0,0,436,46
2.501,0.050,97.449,0,0,0,0,7680,340,0,0,397,50
3.149,0.125,96.726,0,0,0,0,8156,532,0,0,534,193
6.635,0.075,93.290,0,0,0,0,14270,6431,0,0,1292,1668
0.025,0.025,99.950,0,0,0,0,6720,0,0,0,171,68
0.425,0.300,99.274,0,0,0,0,64452,20815,0,0,1966,2500
2.351,0.150,97.474,0.025,0,0,8531968,10479,7413,0,0,705,536
2.475,0.050,97.475,0,0,0,0,8280,0,0,0,446,116
2.451,0.050,97.499,0,0,0,0,7080,0,0,0,424,35
2.401,0.100,97.499,0,0,0,0,7440,0,0,0,387,30
2.425,0.100,97.475,0,0,0,0,7200,0,0,0,428,35
2.475,0.050,97.475,0,0,0,28672,8160,0,0,0,447,125
2.125,0.150,97.725,0,0,0,0,24648,12109,0,0,816,253
0.025,0,99.975,0,0,0,0,7140,0,0,0,139,47
0.125,0.125,99.750,0,0,0,0,7800,104,0,0,442,241
1.001,0.200,98.799,0,0,0,0,66859,27264,0,0,1877,2752
2.451,0.075,97.474,0,0,0,0,6360,0,0,0,417,38
2.450,0.100,97.425,0.025,0,0,8503296,5700,0,0,0,392,81
2.425,0.100,97.475,0,0,0,0,5880,0,0,0,404,38
2.425,0.100,97.475,0,0,0,0,6300,0,0,0,413,116
2.426,0.075,97.499,0,0,0,0,7260,0,0,0,426,35
2.500,0.075,97.425,0,0,0,0,7388,932,0,0,417,72
0.950,0.100,98.950,0,0,0,16384,18382,8047,0,0,729,211
0,0,100,0,0,0,0,7200,0,0,0,179,126
0.450,0.350,99.200,0,0,0,0,62806,19785,0,0,1717,2236
2.375,0.050,97.575,0,0,0,8626176,10173,7413,0,0,773,701
2.475,0.075,97.450,0,0,0,0,6660,0,0,0,424,47
2.425,0.100,97.475,0,0,0,0,6720,0,0,0,423,118
2.451,0.050,97.499,0,0,0,106496,7080,0,0,0,428,49
2.475,0.050,97.475,0,0,0,0,7266,132,0,0,390,33
2.425,0.100,97.475,0,0,0,0,7140,0,0,0,425,32
2.701,0.100,97.199,0,0,0,0,22668,12109,0,0,1100,342
0.025,0,99.975,0,0,0,0,7140,0,0,0,178,40
0.325,0.225,99.450,0,0,0,69632,15355,10539,0,0,552,347
1.576,0.150,98.274,0,0,0,0,58456,16659,0,0,1779,2611
2.474,0.075,97.451,0,0,0,0,7200,0,0,0,428,121
2.426,0.100,97.474,0,0,0,8429568,8220,0,0,0,480,47
2.476,0.025,97.499,0,0,0,0,7920,0,0,0,395,30
2.425,0.100,97.475,0,0,0,0,8340,0,0,0,448,41
2.425,0.100,97.475,0,0,0,94208,7440,0,0,0,433,125
3.826,0.175,95.999,0,0,0,0,22302,12043,0,0,1471,290
0.025,0,99.975,0,0,0,0,5940,0,0,0,116,55
0.300,0.225,99.475,0,0,0,0,12273,5805,0,0,536,309
1.051,0.125,98.824,0,0,0,0,60252,21465,0,0,1734,2661
2.451,0.100,97.424,0.025,0,0,8503296,5880,0,0,0,434,80
2.500,0.025,97.475,0,0,0,0,6360,0,0,0,374,39
2.474,0.075,97.451,0,0,0,0,6600,0,0,0,423,40
2.476,0.025,97.499,0,0,0,0,6480,0,0,0,415,118
2.401,0.100,97.499,0,0,0,0,6960,0,0,0,423,32
6.473,0.125,93.402,0,0,0,0,19362,8632,0,0,1040,169
0.325,0.025,99.650,0,0,0,32768,10086,3411,0,0,1346,269
0,0,100,0,0,0,0,6960,0,0,0,177,112
0.776,0.375,98.849,0,0,0,0,66199,27336,0,0,2086,2901
2.500,0.050,97.450,0,0,0,0,6776,228,0,0,399,69
2.450,0.075,97.475,0,0,0,0,6120,0,0,0,415,40
2.450,0.100,97.425,0.025,0,0,8507392,5280,0,0,0,425,147
2.499,0.050,97.451,0,0,0,0,4980,0,0,0,396,40
2.475,0.050,97.475,0,0,0,0,5280,0,0,0,351,30
2.451,0.050,97.499,0,0,0,0,5400,0,0,0,399,34
5.325,0.125,94.550,0,0,0,0,20616,12151,0,0,1348,1846
0.025,0,99.975,0,0,0,0,6420,0,0,0,167,74
0.976,0.475,98.549,0,0,0,69632,19725,16398,0,0,1940,1087
0.025,0,99.975,0,0,0,0,6360,0,0,0,177,72
0,0,100,0,0,0,0,6360,0,0,0,165,113
0.025,0,99.975,0,0,0,0,6030,90,0,0,163,45
0.025,0,99.975,0,0,0,0,5520,0,0,0,108,30
0,0.025,99.975,0,0,0,61440,5460,0,0,0,165,54
0,0.025,99.975,0,0,0,8192,5160,0,0,0,148,120
0.025,0,99.975,0,0,0,0,6180,0,0,0,162,32
0.025,0,99.975,0,0,0,0,6240,0,0,0,120,32
0,0,100,0,0,0,0,6420,0,0,0,168,34
0.025,0,99.975,0,0,0,0,6780,54,0,0,171,110
0.025,0,99.975,0,0,0,118784,6180,0,0,0,190,52
0,0,100,0,0,0,0,6840,0,0,0,133,34
0.025,0.025,99.950,0,0,0,0,6840,0,0,0,178,42
0.025,0,99.975,0,0,0,0,7128,102,0,0,177,124
0,0.025,99.975,0,0,0,0,7278,306,0,0,193,70
0.050,0.100,99.850,0,0,0,12288,8130,15722,0,0,212,287
0.025,0.050,99.925,0,0,0,0,7206,310,0,0,274,70
0.025,0.050,99.925,0,0,0,0,7262,562,0,0,199,148
0.025,0,99.975,0,0,0,0,6816,868,0,0,189,74
0.025,0,99.975,0,0,0,0,6120,0,0,0,118,26
0.025,0.050,99.925,0,0,0,0,7230,926,0,0,160,78
0.025,0.050,99.900,0.025,0,0,12288,7158,898,0,0,263,194
0,0.025,99.975,0,0,0,0,7140,0,0,0,139,32
0.025,0.050,99.925,0,0,0,0,7146,574,0,0,191,56
0.025,0.050,99.925,0,0,0,0,7506,566,0,0,163,67
0.025,0,99.975,0,0,0,0,7500,0,0,0,230,118
0.025,0.025,99.950,0,0,0,16384,7806,198,0,0,170,66
0.050,0.050,99.900,0,0,0,0,7386,286,0,0,196,60
0.025,0,99.975,0,0,0,0,6840,0,0,0,133,30
0.025,0.050,99.925,0,0,0,0,7086,494,0,0,232,134
0,0.050,99.950,0,0,0,0,6768,656,0,0,152,62
0.025,0,99.975,0,0,0,409600,6960,0,0,0,251,34
0.050,0.025,99.925,0,0,0,28672,7326,270,0,0,160,87
0,0.075,99.925,0,0,0,0,7026,310,0,0,232,142
0.025,0.025,99.950,0,0,0,0,7018,1020,0,0,158,80
0.025,0.050,99.925,0,0,0,0,7612,1162,0,0,203,86
0.025,0,99.975,0,0,0,8192,7142,470,0,0,153,62
0,0.050,99.950,0,0,0,0,7188,342,0,0,235,149
0.025,0.050,99.925,0,0,0,12288,7446,350,0,0,163,77
0.025,0.025,99.950,0,0,0,0,7680,0,0,0,191,34
0,0.050,99.950,0,0,0,0,7326,262,0,0,154,53
0.050,0.025,99.925,0,0,0,0,7202,660,0,0,245,157
0.025,0,99.975,0,0,0,0,6776,422,0,0,139,49
0.025,0.050,99.925,0,0,0,12288,6786,278,0,0,192,72
0,0.025,99.975,0,0,0,0,6660,0,0,0,137,42
0.025,0.050,99.925,0,0,0,0,6666,366,0,0,226,143
0.025,0.075,99.900,0,0,0,8192,6426,318,0,0,145,72
0.025,0,99.975,0,0,0,0,5820,0,0,0,165,43
0.025,0.025,99.950,0,0,0,0,6306,358,0,0,144,73
0.050,0.050,99.900,0,0,0,12288,5886,286,0,0,220,154
0.025,0.050,99.925,0,0,0,0,6794,13030,0,0,162,222
0.025,0.050,99.925,0,0,0,0,6786,310,0,0,188,57
0.025,0,99.975,0,0,0,0,6176,214,0,0,129,55
0.075,0.025,99.900,0,0,0,0,6018,1468,0,0,241,229
0.050,0.075,99.875,0,0,0,12288,5606,5185,0,0,219,353
0,0,100,0,0,0,0,4698,0,0,0,136,43
0.025,0.050,99.925,0,0,0,0,5772,792,0,0,130,66
0.025,0.050,99.925,0,0,0,0,5520,494,0,0,216,144
0,0,100,0,0,0,0,6372,0,0,0,122,26
0.025,0.050,99.925,0,0,0,0,6306,214,0,0,177,47
0.025,0,99.975,0,0,0,40960,5742,66,0,0,122,47
0,0.050,99.950,0,0,0,0,5706,278,0,0,211,129
0.025,0,99.975,0,0,0,0,6000,0,0,0,118,30
0.025,0.050,99.925,0,0,0,0,6716,328,0,0,188,63
0.050,0,99.950,0,0,0,0,6384,12890,0,0,155,196
0.050,0.025,99.925,0,0,0,0,6894,784,0,0,241,173
0,0,100,0,0,0,12288,7188,530,0,0,156,83
0.025,0.050,99.925,0,0,0,4096,6600,348,0,0,182,57
0.025,0,99.975,0,0,0,0,6972,0,0,0,132,28
